article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
108775001,10877500,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in White.
108775002,10877500,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in White.
108775003,10877500,Sample Sneakers,101,Sneakers,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Black.
108775004,10877500,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775005,10877500,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.
108775006,10877500,Sample Sweater,101,Sweater,Shoes,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in White.
108775007,10877500,Sample Trousers,101,Trousers,Shoes,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in White.
108775008,10877500,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Black.
108775009,10877500,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Blue.
108775010,10877501,Sample T-shirt,101,T-shirt,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.
108775011,10877501,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in White.
108775012,10877501,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in White.
108775013,10877501,Sample Socks,101,Socks,Shoes,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Blue.
108775014,10877501,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Black.
108775015,10877501,Sample Dress,101,Dress,Garment Upper body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Red.
108775016,10877501,Sample Sneakers,101,Sneakers,Swimwear,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Grey.
108775017,10877501,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Black.
108775018,10877501,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in White.
108775019,10877501,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.
108775020,10877502,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in White.
108775021,10877502,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Blue.
108775022,10877502,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775023,10877502,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Red.
108775024,10877502,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Red.
108775025,10877502,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775026,10877502,Sample Sneakers,101,Sneakers,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Grey.
108775027,10877502,Sample Dress,101,Dress,Shoes,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775028,10877502,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Red.
108775029,10877502,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Blue.
108775030,10877503,Sample Trousers,101,Trousers,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Grey.
108775031,10877503,Sample Socks,101,Socks,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Green.
108775032,10877503,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775033,10877503,Sample Dress,101,Dress,Garment Upper body,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Grey.
108775034,10877503,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Red.
108775035,10877503,Sample Trousers,101,Trousers,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775036,10877503,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Black.
108775037,10877503,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775038,10877503,Sample T-shirt,101,T-shirt,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,
108775039,10877503,Sample Socks,101,Socks,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Grey.
108775040,10877504,Sample Socks,101,Socks,Shoes,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Grey.
108775041,10877504,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.
108775042,10877504,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775043,10877504,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775044,10877504,Sample Sneakers,101,Sneakers,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775045,10877504,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in White.
108775046,10877504,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
108775047,10877504,Sample Socks,101,Socks,Shoes,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in White.
108775048,10877504,Sample Dress,101,Dress,Garment Upper body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Blue.
108775049,10877504,Sample Sneakers,101,Sneakers,Shoes,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.
