t_dat,customer_id,article_id,price,sales_channel_id
2026-06-08,cust_0020_9961,108775069,0.0639,1
2026-06-03,cust_0033_1621,108775021,0.0336,2
2026-06-13,cust_0012_8732,108775017,0.0658,1
2026-07-26,cust_0030_2645,108775027,0.0276,2
2026-06-07,cust_0005_8319,108775032,0.0295,2
2026-07-06,cust_0010_1022,108775035,0.0406,1
2026-07-18,cust_0009_4247,108775033,0.0356,1
2026-07-23,cust_0030_2645,108775028,0.0544,1
2026-06-11,cust_0025_6963,108775003,0.0695,1
2026-07-25,cust_0014_7861,108775045,0.0101,1
2026-06-23,cust_0007_4169,108775085,0.0998,1
2026-07-13,cust_0003_6144,108775053,0.0941,2
2026-07-14,cust_0028_3100,108775055,0.0473,2
2026-06-20,cust_0007_4169,108775031,0.0847,2
2026-06-24,cust_0019_2130,108775046,0.0926,2
2026-06-29,cust_0016_2137,108775009,0.0466,2
2026-06-08,cust_0028_3100,108775077,0.0742,2
2026-06-03,cust_0028_3100,108775007,0.0619,2
2026-07-09,cust_0038_1164,108775028,0.0667,2
2026-06-14,cust_0010_1022,108775051,0.0882,1
2026-06-28,cust_0000_6796,108775055,0.0303,2
2026-06-01,cust_0026_4409,108775070,0.0324,2
2026-06-29,cust_0013_9540,108775052,0.0989,1
2026-06-02,cust_0007_4169,108775022,0.0143,1
2026-07-24,cust_0013_9540,108775077,0.0463,2
2026-06-08,cust_0016_2137,108775064,0.0519,2
2026-06-28,cust_0024_2948,108775059,0.0564,1
2026-07-02,cust_0017_6350,108775043,0.0409,1
2026-07-22,cust_0038_1164,108775010,0.0921,1
2026-06-17,cust_0035_9840,108775047,0.0974,2
2026-07-24,cust_0023_7665,108775027,0.0764,2
2026-06-13,cust_0034_9710,108775059,0.0925,2
2026-06-09,cust_0010_1022,108775051,0.0942,1
2026-06-11,cust_0006_3713,108775043,0.0506,2
2026-07-21,cust_0034_9710,108775042,0.0628,1
2026-07-02,cust_0014_7861,108775013,0.023,2
2026-07-14,cust_0034_9710,108775077,0.0961,2
2026-06-28,cust_0035_9840,108775002,0.088,2
2026-07-29,cust_0007_4169,108775032,0.0549,2
2026-07-16,cust_0018_2445,108775002,0.098,1
2026-07-05,cust_0018_2445,108775044,0.0324,1
2026-06-24,cust_0019_2130,108775049,0.0946,1
2026-06-04,cust_0001_5325,108775068,0.055,2
2026-06-20,cust_0003_6144,108775047,0.05,2
2026-06-08,cust_0005_8319,108775028,0.0798,2
2026-06-15,cust_0003_6144,108775014,0.0845,1
2026-07-05,cust_0026_4409,108775009,0.0726,1
2026-06-24,cust_0031_4968,108775039,0.0932,2
2026-07-14,cust_0036_1116,108775018,0.0335,2
2026-07-25,cust_0016_2137,108775004,0.0809,1
2026-07-12,cust_0009_4247,108775071,0.0724,2
2026-06-03,cust_0017_6350,108775043,0.0123,2
2026-06-07,cust_0032_6636,108775037,0.0474,2
2026-06-15,cust_0020_9961,108775043,0.061,1
2026-06-02,cust_0036_1116,108775072,0.0378,1
2026-06-11,cust_0012_8732,108775055,0.0424,2
2026-06-05,cust_0013_9540,108775085,0.0494,2
2026-07-04,cust_0012_8732,108775080,0.0578,2
2026-07-03,cust_0001_5325,108775025,0.0962,1
2026-06-29,cust_0021_7200,108775063,0.039,1
2026-06-23,cust_0026_4409,108775037,0.0761,1
2026-07-02,cust_0029_2592,108775031,0.0244,2
2026-06-22,cust_0025_6963,108775006,0.0508,1
2026-07-18,cust_0030_2645,108775027,0.0455,1
2026-07-16,cust_0030_2645,108775005,0.0144,2
2026-07-07,cust_0035_9840,108775050,0.0308,1
2026-06-22,cust_0009_4247,108775033,0.0348,1
2026-07-04,cust_0037_3229,108775015,0.0959,2
2026-07-13,cust_0039_4938,108775005,0.059,2
2026-06-22,cust_0026_4409,108775067,0.0196,1
2026-06-21,cust_0036_1116,108775061,0.0289,2
2026-06-11,cust_0008_5711,108775007,0.024,1
2026-06-20,cust_0030_2645,108775065,0.0916,1
2026-07-22,cust_0002_3301,108775015,0.0338,1
2026-07-27,cust_0010_1022,108775039,0.0308,1
2026-07-30,cust_0026_4409,108775033,0.0815,2
2026-06-20,cust_0006_3713,108775018,0.0772,1
2026-07-28,cust_0036_1116,108775074,0.0911,1
2026-06-24,cust_0035_9840,108775019,0.0628,2
2026-07-27,cust_0000_6796,108775069,0.0982,2
2026-07-07,cust_0002_3301,108775029,0.0621,1
2026-07-08,cust_0020_9961,108775054,0.0704,2
2026-07-31,cust_0021_7200,108775072,0.0908,1
2026-06-12,cust_0034_9710,108775003,0.0133,1
2026-07-26,cust_0019_2130,108775062,0.0555,2
2026-07-18,cust_0011_1730,108775085,0.0989,2
2026-06-25,cust_0010_1022,108775002,0.0504,1
2026-07-06,cust_0033_1621,108775072,0.0839,1
2026-07-29,cust_0017_6350,108775085,0.0298,1
2026-07-07,cust_0005_8319,108775023,0.0421,1
2026-06-17,cust_0003_6144,108775002,0.0246,1
2026-07-05,cust_0030_2645,108775049,0.0806,2
2026-07-20,cust_0031_4968,108775069,0.0709,2
2026-06-14,cust_0003_6144,108775040,0.055,1
2026-06-09,cust_0007_4169,108775083,0.067,1
2026-06-05,cust_0016_2137,108775036,0.0512,2
2026-07-20,cust_0021_7200,108775080,0.0403,1
2026-07-30,cust_0011_1730,108775052,0.0207,2
2026-06-07,cust_0029_2592,108775038,0.0727,1
2026-07-17,cust_0021_7200,108775057,0.0122,1
2026-07-10,cust_0037_3229,108775061,0.0978,1
2026-06-15,cust_0038_1164,108775006,0.0228,2
2026-07-20,cust_0003_6144,108775006,0.0306,1
2026-06-18,cust_0003_6144,108775076,0.0849,1
2026-07-07,cust_0034_9710,108775061,0.0204,2
2026-06-22,cust_0029_2592,108775068,0.0741,1
2026-07-19,cust_0008_5711,108775038,0.0535,2
2026-07-20,cust_0029_2592,108775015,0.0561,2
2026-06-29,cust_0008_5711,108775026,0.0937,2
2026-07-31,cust_0036_1116,108775080,0.0502,2
2026-06-24,cust_0032_6636,108775034,0.0901,2
2026-07-09,cust_0023_7665,108775021,0.0511,1
2026-07-07,cust_0035_9840,108775003,0.0474,1
2026-06-01,cust_0002_3301,108775054,0.0944,1
2026-07-13,cust_0022_2236,108775009,0.058,1
2026-06-25,cust_0003_6144,108775017,0.0502,2
2026-07-13,cust_0008_5711,108775009,0.0225,1
2026-07-31,cust_0017_6350,108775047,0.0745,2
2026-06-12,cust_0037_3229,108775080,0.0282,1
2026-07-17,cust_0006_3713,108775046,0.0764,1
2026-07-17,cust_0037_3229,108775056,0.0956,2
2026-06-28,cust_0021_7200,108775029,0.0801,2
2026-06-23,cust_0014_7861,108775050,0.0689,1
2026-07-14,cust_0005_8319,108775058,0.0988,2
2026-07-04,cust_0026_4409,108775051,0.0994,1
2026-07-07,cust_0026_4409,108775004,0.0426,2
2026-06-02,cust_0021_7200,108775023,0.0156,1
2026-06-14,cust_0021_7200,108775040,0.0182,2
2026-06-01,cust_0019_2130,108775060,0.0438,2
2026-06-14,cust_0022_2236,108775053,0.0456,1
2026-07-23,cust_0038_1164,108775062,0.0738,2
2026-06-16,cust_0001_5325,108775058,0.0262,2
2026-06-20,cust_0038_1164,108775076,0.0577,1
2026-07-06,cust_0022_2236,108775069,0.0428,2
2026-06-17,cust_0030_2645,108775067,0.07,1
2026-06-16,cust_0037_3229,108775055,0.0143,2
2026-07-03,cust_0005_8319,108775072,0.0219,1
2026-07-02,cust_0001_5325,108775043,0.0279,1
2026-06-25,cust_0011_1730,108775071,0.0929,2
2026-07-19,cust_0038_1164,108775078,0.0964,2
2026-06-22,cust_0007_4169,108775026,0.0608,2
2026-06-19,cust_0034_9710,108775067,0.0987,2
2026-07-09,cust_0003_6144,108775027,0.059,2
2026-06-25,cust_0030_2645,108775021,0.0641,2
2026-06-24,cust_0038_1164,108775047,0.0414,2
2026-06-24,cust_0019_2130,108775071,0.0341,1
2026-07-10,cust_0022_2236,108775030,0.0703,1
2026-06-15,cust_0027_3513,108775071,0.094,2
2026-07-13,cust_0018_2445,108775032,0.0126,2
2026-06-23,cust_0011_1730,108775003,0.0538,1
2026-07-26,cust_0008_5711,108775030,0.0353,1
2026-07-24,cust_0012_8732,108775031,0.0855,2
2026-06-01,cust_0006_3713,108775070,0.0726,1
2026-06-28,cust_0019_2130,108775015,0.0543,2
2026-06-22,cust_0009_4247,108775034,0.0576,2
2026-07-07,cust_0038_1164,108775038,0.0195,2
2026-07-31,cust_0015_9620,108775055,0.0848,1
2026-07-27,cust_0031_4968,108775048,0.0654,2
2026-07-19,cust_0037_3229,108775005,0.0846,1
2026-07-12,cust_0001_5325,108775006,0.0771,2
2026-06-11,cust_0005_8319,108775043,0.0374,1
2026-07-30,cust_0011_1730,108775061,0.0661,2
2026-07-18,cust_0000_6796,108775014,0.0928,1
2026-07-19,cust_0027_3513,108775012,0.0193,2
2026-06-25,cust_0031_4968,108775001,0.0283,2
2026-07-08,cust_0010_1022,108775040,0.0719,2
2026-06-24,cust_0035_9840,108775028,0.0992,1
2026-06-21,cust_0022_2236,108775022,0.0398,2
2026-07-31,cust_0016_2137,108775073,0.059,1
2026-07-09,cust_0032_6636,108775084,0.0681,2
2026-07-19,cust_0028_3100,108775078,0.0731,2
2026-06-04,cust_0037_3229,108775075,0.0352,1
2026-06-04,cust_0038_1164,108775034,0.0135,1
2026-06-02,cust_0012_8732,108775004,0.0933,2
2026-06-22,cust_0034_9710,108775018,0.032,2
2026-07-03,cust_0015_9620,108775022,0.0336,2
2026-06-23,cust_0010_1022,108775081,0.0382,1
2026-07-26,cust_0031_4968,108775034,0.0141,1
2026-06-04,cust_0027_3513,108775022,0.0778,1
2026-06-13,cust_0019_2130,108775061,0.0872,2
2026-07-29,cust_0009_4247,108775046,0.0354,2
2026-07-21,cust_0004_8787,108775074,0.0545,2
2026-06-01,cust_0033_1621,108775044,0.0832,1
2026-07-15,cust_0009_4247,108775056,0.092,1
2026-07-11,cust_0026_4409,108775038,0.0835,1
2026-07-11,cust_0030_2645,108775010,0.0358,1
2026-07-03,cust_0038_1164,108775074,0.0503,1
2026-06-09,cust_0016_2137,108775052,0.0554,1
2026-07-22,cust_0019_2130,108775004,0.0141,1
2026-06-30,cust_0010_1022,108775013,0.0402,2
2026-07-27,cust_0015_9620,108775040,0.0783,2
2026-06-21,cust_0023_7665,108775006,0.0484,2
