article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,pop_total_sales,article_avg_price,pop_30d_sales
108775001,10877500,Sample T-shirt,101,T-shirt,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in White.,2,0.0566,1
108775002,10877500,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in White.,6,0.06765,2
108775003,10877500,Sample Sneakers,101,Sneakers,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Black.,4,0.046,1
108775004,10877500,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Green.,4,0.057725,3
108775005,10877500,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in White.,3,0.05266666666666666,3
108775006,10877500,Sample Sweater,101,Sweater,Shoes,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in White.,6,0.04126666666666667,3
108775007,10877500,Sample Trousers,101,Trousers,Shoes,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in White.,2,0.04295,0
108775008,10877500,Sample Sneakers,101,Sneakers,Garment Upper body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Black.,2,0.0859,2
108775009,10877500,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Blue.,5,0.04338,3
108775010,10877501,Sample T-shirt,101,T-shirt,Shoes,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample T-shirt in Black.,5,0.0693,2
108775011,10877501,Sample Sweater,101,Sweater,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in White.,0,0.0,0
108775012,10877501,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in White.,3,0.025566666666666665,3
108775013,10877501,Sample Socks,101,Socks,Shoes,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Blue.,3,0.04416666666666667,2
108775014,10877501,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Black.,3,0.06999999999999999,1
108775015,10877501,Sample Dress,101,Dress,Garment Upper body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Red.,4,0.060024999999999995,3
108775016,10877501,Sample Sneakers,101,Sneakers,Swimwear,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Grey.,0,0.0,0
108775017,10877501,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Black,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Dress in Black.,2,0.057999999999999996,0
108775018,10877501,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in White.,4,0.048350000000000004,1
108775019,10877501,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Grey.,1,0.0628,0
108775020,10877502,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,White,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in White.,0,0.0,0
108775021,10877502,Sample Sweater,101,Sweater,Swimwear,101001,Solid,9,Blue,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sweater in Blue.,3,0.0496,1
108775022,10877502,Sample Sweater,101,Sweater,Accessories,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,4,0.041374999999999995,1
108775023,10877502,Sample Socks,101,Socks,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Socks in Red.,2,0.02885,1
108775024,10877502,Sample Sneakers,101,Sneakers,Garment Lower body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Red.,0,0.0,0
108775025,10877502,Sample Dress,101,Dress,Garment Lower body,101001,Solid,9,Green,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,1,0.0962,1
108775026,10877502,Sample Sneakers,101,Sneakers,Accessories,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Sneakers in Grey.,3,0.07506666666666667,0
108775027,10877502,Sample Dress,101,Dress,Shoes,101001,Solid,9,Grey,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,No Description Available,5,0.051000000000000004,4
108775028,10877502,Sample Trousers,101,Trousers,Garment Upper body,101001,Solid,9,Red,1,Dark,1,Black,1001,Tops,A,Ladieswear,1,Ladieswear,15,Womens Everyday,1002,Jersey Basic,High quality sample Trousers in Red.,4,0.075025,2
